,var1,var2,correlation,p_value,significant
90,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.09180958748879671,0.10955797540729535,False
91,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.06722144677522598,0.2418094624054266,False
92,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobin_Avg_acute,0.30025219820228255,8.991912156762465e-08,False
93,Hemoglobin_Avg_chronic,Hemoglobin_Avg_preclinical,0.418160410055024,2.438514147888993e-14,False
94,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobin_Avg_preclinical,0.2961697037354251,1.3654067763327285e-07,False
95,Hemoglobin_Avg_chronic,Hemoglobin_Avg_acute,0.460795820902148,1.941554758892354e-17,False
96,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobin_Avg_chronic,0.3481975867414444,4.0317404352240856e-10,False
97,Hemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.05571544911171425,0.33215286461795757,False
98,MeanCorpuscularHemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.10136852437447737,0.07712583046582533,False
99,MeanCorpuscularHemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.0003503514491494976,0.9951381193724365,False
100,MeanCorpuscularHemoglobin_Avg_acute,Hemoglobin_Avg_chronic,0.30025219820228255,8.991912156762465e-08,False
101,MeanCorpuscularHemoglobin_Avg_acute,Hemoglobin_Avg_preclinical,0.49810954306882693,1.571907789138991e-20,False
102,MeanCorpuscularHemoglobin_Avg_acute,MeanCorpuscularHemoglobin_Avg_preclinical,0.6841890193307485,1.9298202423278457e-43,False
103,MeanCorpuscularHemoglobin_Avg_acute,Hemoglobin_Avg_acute,0.38247147992630115,4.615972484655442e-12,False
104,MeanCorpuscularHemoglobin_Avg_acute,MeanCorpuscularHemoglobin_Avg_chronic,0.7059004541986887,2.68270368978823e-47,False
105,MeanCorpuscularHemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.08839450344531864,0.12345761441358984,False
106,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.03465884511587201,0.5465176625626492,False
107,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_chronic,-0.028746810800241197,0.6170163568120264,False
108,Hemoglobin_Avg_preclinical,Hemoglobin_Avg_chronic,0.41816041005502397,2.438514147888993e-14,False
109,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_acute,0.498109543068827,1.571907789138991e-20,False
110,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_preclinical,0.6456434370287579,2.3120417117044526e-37,False
111,Hemoglobin_Avg_preclinical,Hemoglobin_Avg_acute,0.49599301114139777,2.4104171117454773e-20,False
112,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_chronic,0.4816500454305635,4.0447722404941314e-19,False
113,Hemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.22428377833321037,7.772176969393619e-05,False
114,MeanCorpuscularHemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.10744685281871985,0.06090248691826473,False
115,MeanCorpuscularHemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_chronic,-0.05160239224013195,0.3691348440352943,False
116,MeanCorpuscularHemoglobin_Avg_preclinical,Hemoglobin_Avg_chronic,0.2961697037354251,1.3654067763327285e-07,False
117,MeanCorpuscularHemoglobin_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_acute,0.6841890193307485,1.9298202423278457e-43,False
118,MeanCorpuscularHemoglobin_Avg_preclinical,Hemoglobin_Avg_preclinical,0.645643437028758,2.3120417117043536e-37,False
119,MeanCorpuscularHemoglobin_Avg_preclinical,Hemoglobin_Avg_acute,0.3597461399863413,9.48378839689345e-11,False
120,MeanCorpuscularHemoglobin_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_chronic,0.6564446153584904,5.6313699762642275e-39,False
121,MeanCorpuscularHemoglobin_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.29509214885937235,1.522918370177442e-07,False
122,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.044459489785569954,0.43914013636815463,False
123,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_chronic,-0.05674205289579072,0.32330726747056204,False
124,Hemoglobin_Avg_acute,Hemoglobin_Avg_chronic,0.460795820902148,1.941554758892354e-17,False
125,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobin_Avg_acute,0.38247147992630115,4.615972484655442e-12,False
126,Hemoglobin_Avg_acute,Hemoglobin_Avg_preclinical,0.49599301114139777,2.4104171117454773e-20,False
127,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobin_Avg_preclinical,0.3597461399863413,9.48378839689345e-11,False
128,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobin_Avg_chronic,0.38226751483109983,4.74794407038355e-12,False
129,Hemoglobin_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.02655342970541728,0.6441436944733776,False
130,MeanCorpuscularHemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,-0.27499450340060455,1.075996240087883e-06,False
131,MeanCorpuscularHemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.006166434125513632,0.9145898836031288,False
132,MeanCorpuscularHemoglobin_Avg_chronic,Hemoglobin_Avg_chronic,0.34819758674144446,4.0317404352240856e-10,False
133,MeanCorpuscularHemoglobin_Avg_chronic,MeanCorpuscularHemoglobin_Avg_acute,0.7059004541986889,2.682703689788115e-47,False
134,MeanCorpuscularHemoglobin_Avg_chronic,Hemoglobin_Avg_preclinical,0.4816500454305635,4.0447722404941314e-19,False
135,MeanCorpuscularHemoglobin_Avg_chronic,MeanCorpuscularHemoglobin_Avg_preclinical,0.6564446153584903,5.6313699762643887e-39,False
136,MeanCorpuscularHemoglobin_Avg_chronic,Hemoglobin_Avg_acute,0.38226751483109983,4.74794407038355e-12,False
137,MeanCorpuscularHemoglobin_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_acute,-0.2226505897709358,8.789037186896402e-05,False
138,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,0.30264375495751433,7.018940145767631e-08,False
139,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.24896271801057224,1.0846964315556715e-05,False
140,MeanCorpuscularHemoglobinConcentration_Avg_acute,Hemoglobin_Avg_chronic,-0.055715449111714256,0.33215286461795723,False
141,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobin_Avg_acute,-0.08839450344531864,0.12345761441358984,False
142,MeanCorpuscularHemoglobinConcentration_Avg_acute,Hemoglobin_Avg_preclinical,-0.22428377833321034,7.772176969393619e-05,False
143,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobin_Avg_preclinical,-0.2950921488593723,1.5229183701774533e-07,False
144,MeanCorpuscularHemoglobinConcentration_Avg_acute,Hemoglobin_Avg_acute,-0.026553429705417277,0.6441436944733776,False
145,MeanCorpuscularHemoglobinConcentration_Avg_acute,MeanCorpuscularHemoglobin_Avg_chronic,-0.2226505897709358,8.789037186896402e-05,False
146,AntiSSA_Avg_chronic,AntiSSA_Avg_acute,0.28769396445981926,3.184059084920542e-07,False
147,AntiSSA_Avg_acute,AntiSSA_Avg_chronic,0.28769396445981926,3.184059084920542e-07,False
148,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0.06266431141787801,0.27528871964473467,False
149,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_acute,-0.10136852437447737,0.07712583046582533,False
150,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_preclinical,-0.10744685281871987,0.06090248691826468,False
151,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_chronic,-0.27499450340060455,1.075996240087883e-06,False
